colour	x	y	label	key	clickSelects	showSelected1	showSelected2	PANEL	group
#32D6BA	11	818	Berri	Berri	Berri	Berri	January 2009	2	1
#32D6BA	18	826	Berri	Berri	Berri	Berri	February 2009	2	2
#32D6BA	17	1371	Berri	Berri	Berri	Berri	March 2009	2	3
#32D6BA	27	4551	Berri	Berri	Berri	Berri	April 2009	2	4
#32D6BA	21	6228	Berri	Berri	Berri	Berri	May 2009	2	5
#32D6BA	17	6820	Berri	Berri	Berri	Berri	June 2009	2	6
#32D6BA	9	7126	Berri	Berri	Berri	Berri	July 2009	2	7
#32D6BA	3	6404	Berri	Berri	Berri	Berri	August 2009	2	8
#32D6BA	9	6075	Berri	Berri	Berri	Berri	September 2009	2	9
#32D6BA	6	4352	Berri	Berri	Berri	Berri	October 2009	2	10
#32D6BA	9	3040	Berri	Berri	Berri	Berri	November 2009	2	11
#32D6BA	2	1877	Berri	Berri	Berri	Berri	December 2009	2	12
#7649C8	9	8075	Br茅beuf	Br茅beuf	Br茅beuf	Br茅beuf	July 2009	2	55
#7649C8	3	7683	Br茅beuf	Br茅beuf	Br茅beuf	Br茅beuf	August 2009	2	56
#7649C8	2	7548	Br茅beuf	Br茅beuf	Br茅beuf	Br茅beuf	September 2009	2	57
#7649C8	6	2705	Br茅beuf	Br茅beuf	Br茅beuf	Br茅beuf	October 2009	2	58
#7649C8	9	1815	Br茅beuf	Br茅beuf	Br茅beuf	Br茅beuf	November 2009	2	59
#0591F5	16	3999	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	June 2009	2	134
#0591F5	5	3564	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	July 2009	2	135
#0591F5	3	3602	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	August 2009	2	136
#0591F5	10	3421	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	September 2009	2	137
#0591F5	21	1978	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	October 2009	2	138
#0591F5	10	1770	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	November 2009	2	139
#0591F5	2	1211	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	December 2009	2	140
#FC9D31	17	6547	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	June 2009	2	183
#FC9D31	9	6251	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	July 2009	2	184
#FC9D31	25	6198	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	August 2009	2	185
#FC9D31	10	7087	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	September 2009	2	186
#FC9D31	6	5110	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	October 2009	2	187
#FC9D31	10	3930	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	November 2009	2	188
#FC9D31	2	2367	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	December 2009	2	189
#A77B7B	12	1337	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	January 2009	2	300
#A77B7B	28	1798	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	February 2009	2	301
#A77B7B	18	3021	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	March 2009	2	302
#A77B7B	30	3037	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	April 2009	2	303
#A77B7B	12	3308	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	May 2009	2	304
